Building Name,Building Code,Latitude,Longitude,Articulation
Arvada West High School,CO-1420-0378,39.81041043,-105.1275315,Arvada West
Dakota Ridge High School,CO-1420-2093,39.60413875,-105.1496703,Dakota Ridge
Evergreen High School,CO-1420-2836,39.62167921,-105.3315125,Evergreen
Evergreen Middle School,CO-1420-2832,39.67741427,-105.3613689,Evergreen
Irwin Preschool,CO-1420-4307,39.68887548,-105.123972,NoArticulationArea
Jeffco Remote Learning Program,CO-1420-4127,N/A,N/A,NoArticulationArea
Jeffco Virtual Academy,CO-1420-4408,39.70706206,-105.1206292,NoArticulationArea
Meiklejohn Elementary,CO-1420-5758,39.84789288,-105.1504183,Ralston Valley
Ralston Elementary,CO-1420-7238,39.71681863,-105.2925393,Golden
Ralston Valley High School,CO-1420-7239,39.84328452,-105.1502362,Ralston Valley
Alameda International Junior/Senior High School,CO-1420-0108,39.69379543,-105.0842539,Alameda
Bear Creek High School,CO-1420-0664,39.65886519,-105.1105899,Bear Creek
Chatfield Senior High School,CO-1420-1522,39.58704421,-105.1319825,Chatfield
Falcon Bluffs Middle School,CO-1420-2963,39.56337008,-105.1026078,Chatfield
D'Evelyn Junior/Senior High School,CO-1420-2120,39.6435758,-105.1144942,Bear Creek
McLain Community High School,CO-1420-0033,39.71497119,-105.1517053,NoArticulationArea
Bear Creek K-8,CO-1420-0660,39.66029515,-105.1046235,Bear Creek
Dunstan Middle School,CO-1420-2300,39.68446426,-105.1388439,Green Mountain
Sierra Elementary,CO-1420-7870,39.83830205,-105.1203377,Ralston Valley
Wayne Carle Middle School,CO-1420-9299,39.87722957,-105.1122221,Standley Lake
Addenbrooke Classical Academy,CO-1420-1451,39.64904351,-105.0756251,NoArticulationArea
Addenbrooke Classical Academy (PK - 8th),CO-1420-0491,39.64904351,-105.0756251,NoArticulationArea
Collegiate Academy,CO-1420-7701,39.56665675,-105.1128038,NoArticulationArea
Compass Montessori,CO-1420-1880,39.77494046,-105.1896744,NoArticulationArea
Compass Montessori Wheat Ridge,CO-1420-1869,39.77881141,-105.1139004,NoArticulationArea
Doral Academy of Colorado,CO-1420-2189,39.8618431,-105.0974217,NoArticulationArea
Excel Academy,CO-1420-2799,39.85084346,-105.1283154,NoArticulationArea
Great Work Montessori,CO-1420-3691,39.70497424,-105.0551815,NoArticulationArea
Jeffco Central Services,CO-1420-9980,N/A,N/A,NoArticulationArea
Jefferson Academy,CO-1420-4404,39.90037646,-105.0754664,NoArticulationArea
Jefferson Academy Elementary,CO-1420-4402,39.87731436,-105.0861567,NoArticulationArea
Jefferson Academy Secondary,CO-1420-4410,39.90037646,-105.0754664,NoArticulationArea
Lincoln Academy,CO-1420-5145,39.82586791,-105.1170876,NoArticulationArea
Montessori Peaks Academy,CO-1420-5994,39.60515138,-105.1088334,NoArticulationArea
Mountain Phoenix Community School,CO-1420-6139,39.78359667,-105.1148856,NoArticulationArea
New America School,CO-1420-6237,39.7098329,-105.0605853,NoArticulationArea
Rocky Mountain Academy of Evergreen,CO-1420-7462,39.66033526,-105.3572068,NoArticulationArea
Rocky Mountain Deaf School,CO-1420-5415,39.64309089,-105.1112576,NoArticulationArea
Two Roads Charter School,CO-1420-8793,39.82301845,-105.071211,NoArticulationArea
Warren Tech South,CO-1420-1001,39.60244245,-105.1493177,Dakota Ridge
Woodrow Wilson Academy,CO-1420-9427,39.86707588,-105.092214,NoArticulationArea
Kendrick Lakes Elementary,CO-1420-4550,39.69192934,-105.1043092,Bear Creek
Three Creeks K-8,CO-1420-8856,39.86621433,-105.2214041,Ralston Valley
Norma Anderson Early Learning Center,CO-1420-6285,39.77900268,-105.118449,Wheat Ridge
