SystemCategory,Project,Unit,UnitCost,Value,ScopeAssumption,UpgradeScopeAssumption,SizeAssumptions
05_Modernization,Level 3 - heavy modernization - kitchen - ES,SF,883.74,0.35,"Full demolition and reconstruction including new plumbing layout, slab on grade removal and replacement, and new kitchen equipment. Assumes replacement of make-up air unit and kitchen exhaust hood; re-use of all other major mechanical equipment. Structural and exterior improvements have not been included.",,"2,800 SF Kitchen and 65,000 ES"
05_Modernization,Level 3 - heavy modernization - kitchen - MS,SF,934.68375,0.35,"Full demolition and reconstruction including new plumbing layout, slab on grade removal and replacement, and new kitchen equipment. Assumes replacement of make-up air unit and kitchen exhaust hood; re-use of all other major mechanical equipment. Structural and exterior improvements have not been included.",,"3,000 SF Kitchen and 150,000 MS"
05_Modernization,Level 3 - heavy modernization - kitchen - HS,SF,942.7275,0.35,"Full demolition and reconstruction including new plumbing layout, slab on grade removal and replacement, and new kitchen equipment. Assumes replacement of make-up air unit and kitchen exhaust hood; re-use of all other major mechanical equipment. Structural and exterior improvements have not been included.",,"3,500 SF Kitchen, 250,000 SF HS"
05_Modernization,Level 3 - heavy modernization - library / media center,SF,429,0.35,"Full demolition and reconstruction of existing space. Assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"2,500 SF"
05_Modernization,Level 3 - heavy modernization - main entry / vestibule,SF,1072.5,0.35,"Full demolition and reconstruction including new storefront, entrance doors, flooring, finishes, lighting, and security features. Assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,950 SF
05_Modernization,Level 3 - heavy modernization - multipurpose room,SF,,0.35,Heavy modernization of the multipurpose room. Unit cost to be provided.,,
05_Modernization,Level 3 - heavy modernization - science labs (MS & HS),SF,614.185,0.35,"Full demolition and reconstruction to convert existing space into a science lab. Includes new plumbing, student station gas connections for burners, sinks, eyewash stations, fume hoods, floor drains, durable finishes, new fixtures, flooring, and lighting. Assumes re-use of all major mechanical equipment. Excludes lab equipment, new furniture, and exterior improvements.",,"5,000 SF"
05_Modernization,Level 3 - heavy modernization - specialty CTE lab - without equipment (HS),SF,525.525,0.35,"Full demolition and reconstruction to convert existing spaces into specialty CTE labs. Assumes re-use of all major mechanical equipment. Excludes new furniture, exterior improvements, and specialty program equipment.",,"25,000 SF"
05_Modernization,Level 3 - heavy modernization - specialty CTE labs - low equipment intensity (HS),SF,539.825,0.35,"Full demolition and reconstruction to convert existing spaces into specialty CTE labs. Assumes re-use of all major mechanical equipment. Excludes new furniture and exterior improvements. Includes $250k allowance for programs requiring specialty equipment with lower capital cost (e.g., cosmetology, EMT, engineering/design).",,"25,000 SF"
05_Modernization,Level 3 - heavy modernization - specialty CTE labs - high equipment intensity (HS),SF,582.725,0.35,"Full demolition and reconstruction to convert existing spaces into specialty CTE labs. Assumes re-use of all major mechanical equipment. Excludes new furniture and exterior improvements. Includes $1M allowance for programs requiring specialty equipment with high capital cost (e.g., automotive, aviation, culinary).",,"25,000 SF"
