JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Location,Building,System,ID,Priority,Date of New Deficiency Created or Existing Modified,New RSMeans Deficiency Description,Deficiency (Scope Of Work),Qty,UoM,Cost with Inflation Factor
401,CO-1420-9234,Warren Tech Central,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
402,CO-1420-9245,Warren Tech North,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
403,CO-1420-1001,Warren Tech South,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
217,CO-1420-9299,Wayne Carle MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
166,CO-1420-9328,Weber ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
167,CO-1420-9342,Welchester ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
168,CO-1420-9424,West Jefferson ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
218,CO-1420-9428,West Jefferson MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
169,CO-1420-9429,West Woods ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
170,CO-1420-9412,Westgate ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
171,CO-1420-9490,Westridge ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
317,CO-1420-9510,Wheat Ridge HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
787,CO-1420-9638,Wilmore-Davis ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
172,CO-1420-9648,Wilmot ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
788,CO-1420-9678,Witt ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
956,CO-1420-9427,Woodrow Wilson Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
789,CO-1420-2189,Zerger ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
